threshold,metric,arrived_count,missed_count,arrived_mean,missed_mean,arrived_median,missed_median,mean_gap
0.52,range_pct_5m,7497,563,0.0022151651,0.0022488539,0.0018115177,0.0018123564,-0.0000336888
0.52,return_std_1m_5m,7497,563,0.0005320656,0.0005414574,0.0004261659,0.0004424919,-0.0000093918
0.53,range_pct_5m,7326,734,0.0022181774,0.0022109403,0.0018132015,0.0017945980,0.0000072371
0.53,return_std_1m_5m,7326,734,0.0005324489,0.0005354433,0.0004264064,0.0004359123,-0.0000029944
0.54,range_pct_5m,7181,879,0.0022178276,0.0022149918,0.0018098501,0.0018234809,0.0000028358
0.54,return_std_1m_5m,7181,879,0.0005317179,0.0005409215,0.0004255972,0.0004386630,-0.0000092036
0.55,range_pct_5m,7053,1007,0.0022187162,0.0022091287,0.0018111575,0.0018129076,0.0000095875
0.55,return_std_1m_5m,7053,1007,0.0005313815,0.0005421074,0.0004248337,0.0004424919,-0.0000107258
0.56,range_pct_5m,6896,1164,0.0022177829,0.0022159510,0.0018112710,0.0018126971,0.0000018319
0.56,return_std_1m_5m,6896,1164,0.0005313228,0.0005410085,0.0004249483,0.0004413293,-0.0000096857
0.57,range_pct_5m,6790,1270,0.0022185058,0.0022122391,0.0018125746,0.0018058619,0.0000062667
0.57,return_std_1m_5m,6790,1270,0.0005311173,0.0005412987,0.0004249483,0.0004411532,-0.0000101814
0.58,range_pct_5m,6686,1374,0.0022172020,0.0022190576,0.0018114511,0.0018124214,-0.0000018556
0.58,return_std_1m_5m,6686,1374,0.0005308557,0.0005418011,0.0004249968,0.0004388134,-0.0000109454
